x	y1	y2
1.943333044648e+02	8.465475588295e+01	4.071697893096e-01
1.972702215115e+02	8.482615273621e+01	4.077483627768e-01
2.006374388933e+02	8.501425560543e+01	4.085073924758e-01
2.042402689656e+02	8.520661713439e+01	4.094147176592e-01
2.076087738077e+02	8.537959902784e+01	4.103135976250e-01
2.118961676955e+02	8.559163790637e+01	4.114957843810e-01
2.152723814050e+02	8.575033386759e+01	4.125396638702e-01
2.195430800319e+02	8.594722464277e+01	4.137767038668e-01
2.237916921576e+02	8.613062423780e+01	4.152088368712e-01
2.285107567906e+02	8.632279502095e+01	4.169561453891e-01
2.327244222164e+02	8.648670069055e+01	4.185803976337e-01
2.374427000682e+02	8.666449122125e+01	4.203818692539e-01
2.423834080497e+02	8.684243422413e+01	4.223263501263e-01
2.472842574120e+02	8.701073205994e+01	4.243256602734e-01
2.528672834237e+02	8.719312168563e+01	4.266854958242e-01
2.582019358873e+02	8.735782789397e+01	4.290527652496e-01
2.644544094801e+02	8.754389787689e+01	4.317984725321e-01
2.699952344100e+02	8.769871863257e+01	4.343724127002e-01
2.768910030524e+02	8.788273642590e+01	4.376060204744e-01
2.837494462729e+02	8.805633860902e+01	4.408743979960e-01
2.906082332134e+02	8.822158651386e+01	4.441767750686e-01
2.981291135152e+02	8.838938726891e+01	4.480290666683e-01
3.056452542543e+02	8.855337754170e+01	4.517011658671e-01
3.137998630603e+02	8.872034035481e+01	4.558063421475e-01
3.225767095884e+02	8.888926941087e+01	4.603147125854e-01
3.316103508075e+02	8.905039189220e+01	4.651433360075e-01
3.410183668137e+02	8.920890175620e+01	4.702062310596e-01
3.517211059729e+02	8.938069996834e+01	4.759010193840e-01
3.626661300659e+02	8.954173464488e+01	4.819637605620e-01
3.741710096598e+02	8.970026026744e+01	4.883897087019e-01
3.861490279436e+02	8.985111664775e+01	4.953243659466e-01
3.995691726605e+02	9.000831315394e+01	5.031711099335e-01
4.136046310266e+02	9.015612947327e+01	5.117214603184e-01
4.289159297943e+02	9.030236900008e+01	5.212955223201e-01
4.456681410472e+02	9.044755084420e+01	5.319793614249e-01
4.627456148465e+02	9.057786014011e+01	5.433075737906e-01
4.819342871507e+02	9.070480581118e+01	5.565859763067e-01
5.029471953710e+02	9.082132909782e+01	5.718857944790e-01
5.251308560371e+02	9.092209768141e+01	5.888685436011e-01
5.505701700846e+02	9.100870466939e+01	6.096992406419e-01
5.777300238609e+02	9.107092368553e+01	6.335553680421e-01
6.074460168680e+02	9.110862529327e+01	6.615019106428e-01
6.412235677242e+02	9.111891554463e+01	6.955376482100e-01
6.785014629364e+02	9.109193173895e+01	7.362498191207e-01
7.200871725877e+02	9.101801630573e+01	7.858960592406e-01
7.673226316770e+02	9.087548881916e+01	8.488647601553e-01
8.213719983896e+02	9.064444294203e+01	9.299965914764e-01
8.838460087776e+02	9.031306455751e+01	1.034741005350e+00
9.562989453475e+02	8.987894470960e+01	1.168456242162e+00
1.042031900088e+03	8.935614577305e+01	1.337242725350e+00
1.143535927931e+03	8.877385993953e+01	1.544245577328e+00
1.143535927931e+03	8.877385993953e+01	1.544245577328e+00
