x	y1	y2
1.722631305456e+02	6.939204358194e+01	7.919636592569e-01
1.751295775175e+02	6.940215762715e+01	8.037058671086e-01
1.776330322027e+02	6.940242156482e+01	8.143063052056e-01
1.804121136665e+02	6.940629994258e+01	8.255522441400e-01
1.833609938622e+02	6.941161670795e+01	8.371722136868e-01
1.860811561346e+02	6.940817249709e+01	8.481513284375e-01
1.894901841879e+02	6.941048505958e+01	8.612004637224e-01
1.921801567078e+02	6.940287579428e+01	8.719650164978e-01
1.955253630877e+02	6.940180185064e+01	8.846870772396e-01
1.988110840321e+02	6.939111492548e+01	8.974397383640e-01
2.024314254522e+02	6.938208597761e+01	9.111302734558e-01
2.056370079517e+02	6.936847243207e+01	9.234277811518e-01
2.091846913099e+02	6.934537561279e+01	9.371753035977e-01
2.128757983446e+02	6.931845388909e+01	9.514637046399e-01
2.164921611547e+02	6.929217116206e+01	9.653170929019e-01
2.205777317286e+02	6.924888837830e+01	9.813869069412e-01
2.244451791048e+02	6.919613832946e+01	9.970679694314e-01
2.289278209209e+02	6.913434716347e+01	1.015099357663e+00
2.328616678715e+02	6.906974179498e+01	1.031301246036e+00
2.376993298531e+02	6.898120219280e+01	1.051506551905e+00
2.424550056458e+02	6.888366729160e+01	1.071762131621e+00
2.471606433392e+02	6.877829883215e+01	1.092149303498e+00
2.522644996643e+02	6.865131236278e+01	1.114811574965e+00
2.572968304157e+02	6.851729027274e+01	1.137524978303e+00
2.627066969872e+02	6.836222074206e+01	1.162487247118e+00
2.684262692928e+02	6.818284858699e+01	1.189593422427e+00
2.742390036583e+02	6.799258846264e+01	1.217586378390e+00
2.802061438560e+02	6.777645069556e+01	1.247386844520e+00
2.868937849998e+02	6.752469183095e+01	1.281427838002e+00
2.936416566372e+02	6.725391783499e+01	1.316825095990e+00
3.005888164043e+02	6.695988202646e+01	1.354172967438e+00
3.077135682106e+02	6.664702885986e+01	1.393347207373e+00
3.155412971973e+02	6.629033655153e+01	1.437391807035e+00
3.235474824905e+02	6.590245794317e+01	1.484023361432e+00
3.320876657963e+02	6.547269513422e+01	1.535092667119e+00
3.412189781666e+02	6.499614564405e+01	1.591224126448e+00
3.502720892429e+02	6.449431856664e+01	1.649130029145e+00
3.601999580860e+02	6.392675729982e+01	1.714423517026e+00
3.707441389561e+02	6.329491207242e+01	1.786562664737e+00
3.815010786057e+02	6.261776926630e+01	1.863039351273e+00
3.934826850891e+02	6.183741865137e+01	1.951477299903e+00
4.057959914207e+02	6.099232041475e+01	2.046597829340e+00
4.187770187855e+02	6.006715609786e+01	2.151171373538e+00
4.329182803631e+02	5.902165761608e+01	2.269967505411e+00
4.477820992470e+02	5.787130946888e+01	2.401091387313e+00
4.635697901249e+02	5.660693743496e+01	2.546909293511e+00
4.805336594582e+02	5.520501555551e+01	2.711012946958e+00
4.987809360027e+02	5.364816069324e+01	2.896148069618e+00
5.183287262917e+02	5.191379535419e+01	3.105243885848e+00
5.345407128334e+02	5.034151064146e+01	3.292368612669e+00
5.454066395760e+02	4.920004890386e+01	3.424877715037e+00
5.561055541039e+02	4.807281859795e+01	3.558722604375e+00
