x	y1	y2
1.837806701660e+02	8.717650720751e+01	3.004628223238e-01
1.868826001883e+02	8.718836176915e+01	3.048729012372e-01
1.895879209042e+02	8.719543160958e+01	3.087900929065e-01
1.926860958338e+02	8.719288134910e+01	3.135498212157e-01
1.959857940674e+02	8.718381721949e+01	3.187812858933e-01
1.990513354540e+02	8.717169075769e+01	3.237439964620e-01
2.029545605183e+02	8.714606593368e+01	3.303491563153e-01
2.060180753469e+02	8.712322815397e+01	3.356245083848e-01
2.098784148693e+02	8.708291658601e+01	3.426233134054e-01
2.137145549059e+02	8.704146745101e+01	3.496445237156e-01
2.179674655199e+02	8.699278977632e+01	3.575345805489e-01
2.217487990856e+02	8.694200815687e+01	3.648220973810e-01
2.259694933891e+02	8.687785395422e+01	3.732352831630e-01
2.303843647242e+02	8.681204997450e+01	3.820501288281e-01
2.347473204136e+02	8.673897096418e+01	3.910805996571e-01
2.396999746561e+02	8.665312322819e+01	4.015084969855e-01
2.444151192904e+02	8.656711544690e+01	4.116612478835e-01
2.499332726002e+02	8.646265623245e+01	4.237862466371e-01
2.547957003117e+02	8.636169054115e+01	4.348914633522e-01
2.608281970024e+02	8.623971140938e+01	4.486910029940e-01
2.667965888977e+02	8.610779321116e+01	4.629250191294e-01
2.727415263653e+02	8.597531743267e+01	4.773121335438e-01
2.792425751686e+02	8.582382660896e+01	4.935091597716e-01
2.857062816620e+02	8.567164841412e+01	5.098894653747e-01
2.926851511002e+02	8.549894860053e+01	5.281682977010e-01
3.001701235771e+02	8.531461138609e+01	5.480268135059e-01
3.078351020813e+02	8.511566579192e+01	5.691346811078e-01
3.157713711262e+02	8.490756909900e+01	5.914361887912e-01
3.247523903847e+02	8.466034286403e+01	6.176795092233e-01
3.338930010796e+02	8.440823839419e+01	6.449248607126e-01
3.434185981750e+02	8.412899518689e+01	6.747011060265e-01
3.532824516296e+02	8.383594160587e+01	7.063772722590e-01
3.642721176147e+02	8.350511257778e+01	7.426876353347e-01
3.756834566593e+02	8.315544558914e+01	7.816222150000e-01
3.880381882191e+02	8.276428373321e+01	8.255289445076e-01
4.014601111412e+02	8.233888420557e+01	8.745468326704e-01
4.150159955025e+02	8.189392760761e+01	9.263463286174e-01
4.301276803017e+02	8.138657038072e+01	9.865071426840e-01
4.464957416058e+02	8.082126296452e+01	1.054819538740e+00
4.635907113552e+02	8.021858570907e+01	1.129414792299e+00
4.829912185669e+02	7.952104582982e+01	1.218163311597e+00
5.034531950951e+02	7.876210013229e+01	1.317252079900e+00
5.255954861641e+02	7.793221147011e+01	1.429686323629e+00
5.504184365273e+02	7.698719760506e+01	1.562680093838e+00
5.774196386337e+02	7.594251139692e+01	1.715928378341e+00
6.070389151573e+02	7.479223766443e+01	1.893041306224e+00
6.400414109230e+02	7.350500677588e+01	2.101296976740e+00
6.771060228348e+02	7.204436069058e+01	2.350471120476e+00
7.192885279655e+02	7.039792308322e+01	2.651422435685e+00
7.673826217651e+02	6.853566405555e+01	3.018380386764e+00
8.234004974365e+02	6.641959174676e+01	3.474549196878e+00
8.884750604630e+02	6.403248058554e+01	4.043112776371e+00
