x	y1	y2	y3	y4
1.000000000000e-01	2.718912270657e+01	2.932728005256e+00	1.137725165764e+00	1.105148769538e+00
1.133333333333e-01	2.643797717120e+01	2.816096749948e+00	1.009969576307e+00	9.751589211335e-01
1.266666666667e-01	2.570591642176e+01	2.713168048692e+00	9.093691649823e-01	8.727021212294e-01
1.400000000000e-01	2.499247375408e+01	2.619799295456e+00	8.280968472787e-01	7.899166721072e-01
1.533333333333e-01	2.429737442381e+01	2.533505060327e+00	7.610586907092e-01	7.216757963962e-01
1.666666666667e-01	2.362044796944e+01	2.452720949246e+00	7.047998528997e-01	6.644936872727e-01
1.800000000000e-01	2.296158398159e+01	2.376422299112e+00	6.568967831540e-01	6.159177608400e-01
1.933333333333e-01	2.232070833321e+01	2.303915036642e+00	6.156009552182e-01	5.741723926362e-01
2.066666666667e-01	2.169776971907e+01	2.234715319581e+00	5.796205460021e-01	5.379405650493e-01
2.200000000000e-01	2.109273168965e+01	2.168477376285e+00	5.479815429919e-01	5.062249182526e-01
2.333333333333e-01	2.050556775551e+01	2.104948687211e+00	5.199365113070e-01	4.782564435426e-01
2.466666666667e-01	1.993625827912e+01	2.043941278362e+00	4.949029876349e-01	4.534327925369e-01
2.600000000000e-01	1.938478844439e+01	1.985312830247e+00	4.724208652702e-01	4.312755712333e-01
2.733333333333e-01	1.885114689668e+01	1.928953944512e+00	4.521222843960e-01	4.114001366644e-01
2.866666666667e-01	1.833532481112e+01	1.874779375578e+00	4.337099547733e-01	3.934938259328e-01
3.000000000000e-01	1.783731524182e+01	1.822721875650e+00	4.169412860023e-01	3.772999946637e-01
3.133333333333e-01	1.735711265875e+01	1.772727798807e+00	4.016165941075e-01	3.626061348937e-01
3.266666666667e-01	1.689471261309e+01	1.724753911890e+00	3.875702186158e-01	3.492349073842e-01
3.400000000000e-01	1.645011149159e+01	1.678765047803e+00	3.746637502133e-01	3.370372889220e-01
3.533333333333e-01	1.602330633411e+01	1.634732356275e+00	3.627808107557e-01	3.258872766043e-01
3.666666666667e-01	1.561429469623e+01	1.592631984649e+00	3.518229900162e-01	3.156777535427e-01
3.800000000000e-01	1.522307454485e+01	1.552444072411e+00	3.417066548419e-01	3.063172315806e-01
3.933333333333e-01	1.484964417793e+01	1.514151977598e+00	3.323604237339e-01	2.977272638919e-01
4.066666666667e-01	1.449400216245e+01	1.477741676655e+00	3.237231544085e-01	2.898403748237e-01
4.200000000000e-01	1.415614728588e+01	1.443201295559e+00	3.157423308684e-01	2.825983933114e-01
4.333333333333e-01	1.383607851821e+01	1.410520741436e+00	3.083727647209e-01	2.759511044037e-01
4.466666666667e-01	1.353379498199e+01	1.379691411964e+00	3.015755461344e-01	2.698551541180e-01
4.600000000000e-01	1.324929592868e+01	1.350705965686e+00	2.953171951321e-01	2.642731581918e-01
4.733333333333e-01	1.298258072001e+01	1.323558140588e+00	2.895689754028e-01	2.591729768240e-01
4.866666666667e-01	1.273364881329e+01	1.298242611399e+00	2.843063415213e-01	2.545271262694e-01
5.000000000000e-01	1.250249975005e+01	1.274754878398e+00	2.795084971875e-01	2.503123049313e-01
5.133333333333e-01	1.228913314726e+01	1.253091182245e+00	2.751580473497e-01	2.465090169168e-01
5.266666666667e-01	1.209354869088e+01	1.233248440717e+00	2.712407312884e-01	2.431012803086e-01
5.400000000000e-01	1.191574613135e+01	1.215224204289e+00	2.677452272045e-01	2.400764109419e-01
5.533333333333e-01	1.175572528069e+01	1.199016628374e+00	2.646630218176e-01	2.374248755240e-01
5.666666666667e-01	1.161348601133e+01	1.184624460797e+00	2.619883411452e-01	2.351402106697e-01
5.800000000000e-01	1.148902825625e+01	1.172047043786e+00	2.597181411600e-01	2.332190070462e-01
5.933333333333e-01	1.138235201073e+01	1.161284330476e+00	2.578521595985e-01	2.316609604781e-01
6.066666666667e-01	1.129345733563e+01	1.152336916698e+00	2.563930329830e-01	2.304689947477e-01
6.200000000000e-01	1.122234436239e+01	1.145206089742e+00	2.553464861377e-01	2.296494641467e-01
6.333333333333e-01	1.116901330003e+01	1.139893896925e+00	2.547216053806e-01	2.292124478463e-01
6.466666666667e-01	1.113346444473e+01	1.136403238227e+00	2.545312115054e-01	2.291721532128e-01
6.600000000000e-01	1.111569819239e+01	1.134737989235e+00	2.547923550921e-01	2.295474517685e-01
6.733333333333e-01	1.111571505527e+01	1.134903163264e+00	2.555269652834e-01	2.303625802663e-01
6.866666666667e-01	1.113351568400e+01	1.136905125201e+00	2.567626948897e-01	2.316480512864e-01
7.000000000000e-01	1.116910089667e+01	1.140751874866e+00	2.585340209916e-01	2.334418343187e-01
7.133333333333e-01	1.122247171777e+01	1.146453425214e+00	2.608836832490e-01	2.357908916510e-01
7.266666666667e-01	1.129362943072e+01	1.154022311867e+00	2.638645752354e-01	2.387531868729e-01
7.400000000000e-01	1.138257564951e+01	1.163474287156e+00	2.675422524992e-01	2.424003326572e-01
7.533333333333e-01	1.148931241770e+01	1.174829277556e+00	2.719982930153e-01	2.468211170124e-01
7.666666666667e-01	1.161384234722e+01	1.188112723562e+00	2.773348547665e-01	2.521262569549e-01
7.800000000000e-01	1.175616881633e+01	1.203357485521e+00	2.836809439485e-01	2.584548981148e-01
7.933333333333e-01	1.191629625697e+01	1.220606604903e+00	2.912011743328e-01	2.659836467394e-01
8.066666666667e-01	1.209423058136e+01	1.239917389529e+00	3.001082315340e-01	2.749393547898e-01
8.200000000000e-01	1.228997983035e+01	1.261367603217e+00	3.106809785715e-01	2.856176024795e-01
8.333333333333e-01	1.250355518716e+01	1.285065102726e+00	3.232913828795e-01	2.984100672634e-01
8.466666666667e-01	1.273497261369e+01	1.311163319013e+00	3.384456631471e-01	3.138461869783e-01
8.600000000000e-01	1.298425559260e+01	1.339887045183e+00	3.568491752111e-01	3.326586452339e-01
8.733333333333e-01	1.325143992780e+01	1.371577252714e+00	3.795125823501e-01	3.558902310573e-01
8.866666666667e-01	1.353658259855e+01	1.406772982807e+00	4.079333805096e-01	3.850761445634e-01
9.000000000000e-01	1.383977915227e+01	1.446370278902e+00	4.444232033676e-01	4.225721638863e-01
