x	y1	y2	y3
1.000000000000e+05	1.111347252449e-02	1.424478625015e-02	1.257094087140e-02
2.154434690032e+05	9.972215178032e-03	2.446838342979e-02	1.683621907550e-02
4.641588833613e+05	-4.308066900240e-02	2.384905868984e-02	-1.254580239100e-02
1.000000000000e+06	-3.916547975308e-01	-8.187772868475e-02	-2.502642012152e-01
2.154434690032e+06	-1.797934149965e+00	-7.899160614368e-01	-1.494079351435e+00
4.641588833613e+06	-2.035569741036e+00	-3.945501379706e+00	-4.105317516971e+00
1.000000000000e+07	5.434431004341e-01	-7.674997196150e+00	-3.971456506689e+00
2.154434690032e+07	6.587860195296e-01	-4.457724148196e+00	-1.678750936802e+00
4.641588833613e+07	1.970877725166e-01	-1.285146839323e+00	-4.469023513742e-01
1.000000000000e+08	5.505042640088e-02	-2.883307644718e-01	-1.384299345638e-01
