x	y1	y2	y3	y4	y5	y6	y7
1.000000000000e+05	2.716704729207e+01	2.050009389822e+01	1.561117829738e+01	1.250007133656e+01	1.116675940899e+01	1.161126401930e+01	1.383393399675e+01
2.154434690032e+05	1.261089075349e+01	9.515563292167e+00	7.246254982598e+00	5.802218655040e+00	5.183409939769e+00	5.389898951014e+00	6.422822843364e+00
4.641588833613e+05	5.856926089569e+00	4.417589389017e+00	3.364026227770e+00	2.693801742068e+00	2.406771252852e+00	2.503163173645e+00	2.986678038713e+00
1.000000000000e+06	2.729815448324e+00	2.053251835648e+00	1.563438042929e+00	1.252469753705e+00	1.119875302491e+00	1.166394528447e+00	1.403924602633e+00
2.154434690032e+06	1.302920065458e+00	9.620526223984e-01	7.321396575663e-01	5.881796602774e-01	5.286378510768e-01	5.558196204795e-01	7.051507418293e-01
4.641588833613e+06	7.058189711870e-01	4.743868926912e-01	3.598232510917e-01	2.938545712641e-01	2.716181049463e-01	2.989497973418e-01	4.524470657208e-01
1.000000000000e+07	5.229882825857e-01	2.893036646107e-01	2.172217421769e-01	1.859623187797e-01	1.836052198129e-01	2.191768500042e-01	3.938292076531e-01
2.154434690032e+07	4.877253577335e-01	2.430533631471e-01	1.810262144934e-01	1.604388905250e-01	1.645850117524e-01	2.035972103788e-01	3.843282394612e-01
4.641588833613e+07	4.823778578414e-01	2.352828516668e-01	1.748939491671e-01	1.562650627915e-01	1.615899435663e-01	2.012258984212e-01	3.829461702493e-01
1.000000000000e+08	4.816092304303e-01	2.341442475949e-01	1.739937911813e-01	1.556568524827e-01	1.611566202581e-01	2.008848466908e-01	3.827488182742e-01
