x	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10
1.000000000000e-01	2.728782596374e+01	1.273081143287e+01	5.974045076172e+00	2.837823501976e+00	1.384400911497e+00	7.541072296308e-01	5.477116046558e-01	4.960735946713e-01	4.844401693339e-01	4.819890968414e-01
2.333333333333e-01	2.061968354394e+01	9.634940439159e+00	4.536277511417e+00	2.169683116093e+00	1.071210828398e+00	5.617659073727e-01	3.368360407348e-01	2.596091502611e-01	2.396794440746e-01	2.351737620432e-01
3.666666666667e-01	1.572931951160e+01	7.364243321378e+00	3.481521173084e+00	1.679319018113e+00	8.428135687152e-01	4.545381718713e-01	2.754711426707e-01	2.022633276703e-01	1.804713447536e-01	1.753004070250e-01
5.000000000000e-01	1.261673181587e+01	5.918719602361e+00	2.809774824383e+00	1.366732007073e+00	6.969312691182e-01	3.860369351241e-01	2.423658136606e-01	1.813748333343e-01	1.617956508370e-01	1.569473898399e-01
6.333333333333e-01	1.128191950669e+01	5.298361446964e+00	2.521036170160e+00	1.231919931478e+00	6.335642103981e-01	3.559264815559e-01	2.303999616248e-01	1.813877306809e-01	1.660484895171e-01	1.621983653245e-01
7.666666666667e-01	1.172488248755e+01	5.503171371014e+00	2.615309812227e+00	1.274882096443e+00	6.527222346667e-01	3.666771529342e-01	2.508749290714e-01	2.142166615725e-01	2.040439340136e-01	2.015394266386e-01
9.000000000000e-01	1.394562013584e+01	6.533152948941e+00	3.092590701998e+00	1.495711940222e+00	7.664575196797e-01	4.864938661504e-01	4.075869479585e-01	3.883833461335e-01	3.839462848530e-01	3.829249112985e-01
