x_0	f(x)
1.000000000000e-01	1.089852181618e+01
1.080808080808e-01	1.078423357275e+01
1.161616161616e-01	1.069160343923e+01
1.242424242424e-01	1.061547748655e+01
1.323232323232e-01	1.055214735719e+01
1.404040404040e-01	1.049889067300e+01
1.484848484848e-01	1.045367293788e+01
1.565656565657e-01	1.041494932070e+01
1.646464646465e-01	1.038152989696e+01
1.727272727273e-01	1.035248619016e+01
1.808080808081e-01	1.032708517961e+01
1.888888888889e-01	1.030474193568e+01
1.969696969697e-01	1.028498511488e+01
2.050505050505e-01	1.026743147852e+01
2.131313131313e-01	1.025176683796e+01
2.212121212121e-01	1.023773164040e+01
2.292929292929e-01	1.022510994794e+01
2.373737373737e-01	1.021372092741e+01
2.454545454545e-01	1.020341221809e+01
2.535353535354e-01	1.019405471858e+01
2.616161616162e-01	1.018553845611e+01
2.696969696970e-01	1.017776928888e+01
2.777777777778e-01	1.017066625502e+01
2.858585858586e-01	1.016415942710e+01
2.939393939394e-01	1.015818816509e+01
3.020202020202e-01	1.015269968545e+01
3.101010101010e-01	1.014764788259e+01
3.181818181818e-01	1.014299235322e+01
3.262626262626e-01	1.013869758477e+01
3.343434343434e-01	1.013473227700e+01
3.424242424242e-01	1.013106877269e+01
3.505050505051e-01	1.012768257779e+01
3.585858585859e-01	1.012455195548e+01
3.666666666667e-01	1.012165758159e+01
3.747474747475e-01	1.011898225103e+01
3.828282828283e-01	1.011651062710e+01
3.909090909091e-01	1.011422902672e+01
3.989898989899e-01	1.011212523601e+01
4.070707070707e-01	1.011018835171e+01
4.151515151515e-01	1.010840864452e+01
4.232323232323e-01	1.010677744125e+01
4.313131313131e-01	1.010528702317e+01
4.393939393939e-01	1.010393053829e+01
4.474747474747e-01	1.010270192586e+01
4.555555555556e-01	1.010159585145e+01
4.636363636364e-01	1.010060765141e+01
4.717171717172e-01	1.009973328570e+01
4.797979797980e-01	1.009896929804e+01
4.878787878788e-01	1.009831278290e+01
4.959595959596e-01	1.009776135858e+01
5.040404040404e-01	1.009731314597e+01
5.121212121212e-01	1.009696675266e+01
5.202020202020e-01	1.009672126220e+01
5.282828282828e-01	1.009657622818e+01
5.363636363636e-01	1.009653167328e+01
5.444444444444e-01	1.009658809315e+01
5.525252525253e-01	1.009674646537e+01
5.606060606061e-01	1.009700826348e+01
5.686868686869e-01	1.009737547669e+01
5.767676767677e-01	1.009785063541e+01
5.848484848485e-01	1.009843684327e+01
5.929292929293e-01	1.009913781635e+01
6.010101010101e-01	1.009995793030e+01
6.090909090909e-01	1.010090227662e+01
6.171717171717e-01	1.010197672912e+01
6.252525252525e-01	1.010318802225e+01
6.333333333333e-01	1.010454384311e+01
6.414141414141e-01	1.010605293940e+01
6.494949494949e-01	1.010772524599e+01
6.575757575758e-01	1.010957203355e+01
6.656565656566e-01	1.011160608323e+01
6.737373737374e-01	1.011384189232e+01
6.818181818182e-01	1.011629591718e+01
6.898989898990e-01	1.011898686076e+01
6.979797979798e-01	1.012193601433e+01
7.060606060606e-01	1.012516766488e+01
7.141414141414e-01	1.012870958298e+01
7.222222222222e-01	1.013259360946e+01
7.303030303030e-01	1.013685636430e+01
7.383838383838e-01	1.014154010768e+01
7.464646464646e-01	1.014669379142e+01
7.545454545455e-01	1.015237435050e+01
7.626262626263e-01	1.015864829941e+01
7.707070707071e-01	1.016559371841e+01
7.787878787879e-01	1.017330274266e+01
7.868686868687e-01	1.018188470526e+01
7.949494949495e-01	1.019147013867e+01
8.030303030303e-01	1.020221591342e+01
8.111111111111e-01	1.021431190016e+01
8.191919191919e-01	1.022798969437e+01
8.272727272727e-01	1.024353416858e+01
8.353535353535e-01	1.026129895118e+01
8.434343434343e-01	1.028172743632e+01
8.515151515152e-01	1.030538170613e+01
8.595959595960e-01	1.033298296478e+01
8.676767676768e-01	1.036546903456e+01
8.757575757576e-01	1.040407766275e+01
8.838383838384e-01	1.045046976870e+01
8.919191919192e-01	1.050691607681e+01
9.000000000000e-01	1.057658723459e+01
