x	y1	y2	y3	y4
1.000000000000e-01	2.717093303872e+01	2.759003841024e+00	5.528355947182e-01	4.822472859305e-01
1.080808080808e-01	2.671578558739e+01	2.708606740503e+00	5.220957612670e-01	4.493821525443e-01
1.161616161616e-01	2.626726481584e+01	2.659811403772e+00	4.956315785081e-01	4.211427325673e-01
1.242424242424e-01	2.582534703200e+01	2.612386930855e+00	4.725734207862e-01	3.966273309403e-01
1.323232323232e-01	2.539001544129e+01	2.566169196229e+00	4.522695501820e-01	3.751546081888e-01
1.404040404040e-01	2.496125786092e+01	2.521038874264e+00	4.342227949008e-01	3.562001683212e-01
1.484848484848e-01	2.453906527344e+01	2.476907475341e+00	4.180479671921e-01	3.393538529149e-01
1.565656565657e-01	2.412343088439e+01	2.433708218060e+00	4.034425252981e-01	3.242902604529e-01
1.646464646465e-01	2.371434949269e+01	2.391389911925e+00	3.901659254083e-01	3.107479472734e-01
1.727272727273e-01	2.331181706022e+01	2.349912765599e+00	3.780248133334e-01	2.985144670387e-01
1.808080808081e-01	2.291583041155e+01	2.309245456959e+00	3.668622245187e-01	2.874154221537e-01
1.888888888889e-01	2.252638702080e+01	2.269363048147e+00	3.565495879001e-01	2.773063257033e-01
1.969696969697e-01	2.214348485757e+01	2.230245477691e+00	3.469807246710e-01	2.680664667923e-01
2.050505050505e-01	2.176712227417e+01	2.191876453766e+00	3.380672883787e-01	2.595942266321e-01
2.131313131313e-01	2.139729792172e+01	2.154242630887e+00	3.297352610032e-01	2.518034603516e-01
2.212121212121e-01	2.103401068709e+01	2.117332989822e+00	3.219222325992e-01	2.446206720254e-01
2.292929292929e-01	2.067725964490e+01	2.081138365235e+00	3.145752691775e-01	2.379827872459e-01
2.373737373737e-01	2.032704402059e+01	2.045651082051e+00	3.076492269493e-01	2.318353808545e-01
2.454545454545e-01	1.998336316173e+01	2.010864672804e+00	3.011054086480e-01	2.261312549492e-01
2.535353535354e-01	1.964621651559e+01	1.976773655917e+00	2.949104844237e-01	2.208292890311e-01
2.616161616162e-01	1.931560361129e+01	1.943373360327e+00	2.890356191206e-01	2.158935034579e-01
2.696969696970e-01	1.899152404574e+01	1.910659785663e+00	2.834557618311e-01	2.112922914801e-01
2.777777777778e-01	1.867397747218e+01	1.878629489952e+00	2.781490640041e-01	2.069977855419e-01
2.858585858586e-01	1.836296359108e+01	1.847279498818e+00	2.730964001033e-01	2.029853312911e-01
2.939393939394e-01	1.805848214259e+01	1.816607231572e+00	2.682809706172e-01	1.992330485870e-01
3.020202020202e-01	1.776053290049e+01	1.786610440695e+00	2.636879716097e-01	1.957214632261e-01
3.101010101010e-01	1.746911566713e+01	1.757287162002e+00	2.593043183569e-01	1.924331965030e-01
3.181818181818e-01	1.718423026925e+01	1.728635673386e+00	2.551184131923e-01	1.893527023420e-01
3.262626262626e-01	1.690587655451e+01	1.700654460481e+00	2.511199496817e-01	1.864660437717e-01
3.343434343434e-01	1.663405438865e+01	1.673342187969e+00	2.472997468071e-01	1.837607021051e-01
3.424242424242e-01	1.636876365299e+01	1.646697675482e+00	2.436496080607e-01	1.812254134465e-01
3.505050505051e-01	1.611000424241e+01	1.620719877289e+00	2.401622013169e-01	1.788500281363e-01
3.585858585859e-01	1.585777606364e+01	1.595407865111e+00	2.368309561147e-01	1.766253895433e-01
3.666666666667e-01	1.561207903373e+01	1.570760813529e+00	2.336499755992e-01	1.745432292450e-01
3.747474747475e-01	1.537291307887e+01	1.546777987566e+00	2.306139608572e-01	1.725960761531e-01
3.828282828283e-01	1.514027813327e+01	1.523458732084e+00	2.277181457824e-01	1.707771775565e-01
3.909090909091e-01	1.491417413825e+01	1.500802462717e+00	2.249582409254e-01	1.690804303900e-01
3.989898989899e-01	1.469460104149e+01	1.478808658118e+00	2.223303850457e-01	1.675003213204e-01
4.070707070707e-01	1.448155879633e+01	1.457476853303e+00	2.198311032972e-01	1.660318744624e-01
4.151515151515e-01	1.427504736122e+01	1.436806633962e+00	2.174572711558e-01	1.646706057327e-01
4.232323232323e-01	1.407506669921e+01	1.416797631594e+00	2.152060833413e-01	1.634124830032e-01
4.313131313131e-01	1.388161677753e+01	1.397449519363e+00	2.130750271077e-01	1.622538913464e-01
4.393939393939e-01	1.369469756727e+01	1.378762008583e+00	2.110618593781e-01	1.611916027771e-01
4.474747474747e-01	1.351430904304e+01	1.360734845764e+00	2.091645872809e-01	1.602227499869e-01
4.555555555556e-01	1.334045118275e+01	1.343367810161e+00	2.073814517203e-01	1.593448036462e-01
4.636363636364e-01	1.317312396740e+01	1.326660711774e+00	2.057109136698e-01	1.585555529184e-01
4.717171717172e-01	1.301232738092e+01	1.310613389761e+00	2.041516429330e-01	1.578530888870e-01
4.797979797980e-01	1.285806141007e+01	1.295225711233e+00	2.027025091578e-01	1.572357906479e-01
4.878787878788e-01	1.271032604431e+01	1.280497570412e+00	2.013625749319e-01	1.567023138652e-01
4.959595959596e-01	1.256912127579e+01	1.266428888126e+00	2.001310908199e-01	1.562515816274e-01
5.040404040404e-01	1.243444709932e+01	1.253019611639e+00	1.990074922348e-01	1.558827774764e-01
5.121212121212e-01	1.230630351238e+01	1.240269714797e+00	1.979913980654e-01	1.555953405169e-01
5.202020202020e-01	1.218469051519e+01	1.228179198503e+00	1.970826110068e-01	1.553889625441e-01
5.282828282828e-01	1.206960811076e+01	1.216748091509e+00	1.962811195695e-01	1.552635871559e-01
5.363636363636e-01	1.196105630502e+01	1.205976451544e+00	1.955871017650e-01	1.552194108473e-01
5.444444444444e-01	1.185903510699e+01	1.195864366784e+00	1.950009304949e-01	1.552568861126e-01
5.525252525253e-01	1.176354452892e+01	1.186411957683e+00	1.945231806945e-01	1.553767266114e-01
5.606060606061e-01	1.167458458655e+01	1.177619379189e+00	1.941546383125e-01	1.555799144866e-01
5.686868686869e-01	1.159215529939e+01	1.169486823381e+00	1.938963112384e-01	1.558677099542e-01
5.767676767677e-01	1.151625669098e+01	1.162014522551e+00	1.937494423243e-01	1.562416633257e-01
5.848484848485e-01	1.144688878932e+01	1.155202752790e+00	1.937155246852e-01	1.567036296598e-01
5.929292929293e-01	1.138405162725e+01	1.149051838129e+00	1.937963195083e-01	1.572557862924e-01
6.010101010101e-01	1.132774524293e+01	1.143562155300e+00	1.939938766488e-01	1.579006535409e-01
6.090909090909e-01	1.127796968044e+01	1.138734139218e+00	1.943105583535e-01	1.586411189457e-01
6.171717171717e-01	1.123472499037e+01	1.134568289251e+00	1.947490665195e-01	1.594804654796e-01
6.252525252525e-01	1.119801123059e+01	1.131065176443e+00	1.953124739774e-01	1.604224042410e-01
6.333333333333e-01	1.116782846708e+01	1.128225451801e+00	1.960042603886e-01	1.614711122476e-01
6.414141414141e-01	1.114417677489e+01	1.126049855845e+00	1.968283534600e-01	1.626312760650e-01
6.494949494949e-01	1.112705623932e+01	1.124539229644e+00	1.977891763208e-01	1.639081421476e-01
6.575757575758e-01	1.111646695713e+01	1.123694527588e+00	1.988917020764e-01	1.653075749417e-01
6.656565656566e-01	1.111240903817e+01	1.123516832239e+00	2.001415167593e-01	1.668361240103e-01
6.737373737374e-01	1.111488260704e+01	1.124007371648e+00	2.015448921486e-01	1.685011016923e-01
6.818181818182e-01	1.112388780524e+01	1.125167539651e+00	2.031088702408e-01	1.703106731223e-01
6.898989898990e-01	1.113942479358e+01	1.126998919725e+00	2.048413615332e-01	1.722739608243e-01
6.979797979798e-01	1.116149375505e+01	1.129503313189e+00	2.067512597558e-01	1.744011665663e-01
7.060606060606e-01	1.119009489827e+01	1.132682772669e+00	2.088485762798e-01	1.767037137619e-01
