x	y1	y2	y3	y4	y5	y6	y7
1.000000000000e+05	2.156546292159e+01	2.110486764277e+01	2.068236593338e+01	2.029795964852e+01	1.995164850354e+01	1.964343151852e+01	1.937330983771e+01
2.154434690032e+05	1.002637967246e+01	9.812440905148e+00	9.616182297027e+00	9.437607808772e+00	9.276714340965e+00	9.133503792328e+00	9.007974702719e+00
4.641588833613e+05	4.670405557297e+00	4.570960115231e+00	4.479715588129e+00	4.396679021901e+00	4.321848998014e+00	4.255227010710e+00	4.196812147393e+00
1.000000000000e+06	2.190524055765e+00	2.138080012840e+00	2.095580034433e+00	2.056888370424e+00	2.022005452983e+00	1.990931288363e+00	1.965633426151e+00
2.154434690032e+06	1.107656143796e+00	1.010429752872e+00	9.889849398104e-01	9.708513421111e-01	9.545138508813e-01	9.404147117101e-01	9.694553704167e-01
4.641588833613e+06	7.013516378585e-01	5.108422417832e-01	4.794719171239e-01	4.676360526193e-01	4.608892323860e-01	4.664013545013e-01	5.846752597999e-01
1.000000000000e+07	5.547052019047e-01	3.195551786374e-01	2.665528582492e-01	2.496650565626e-01	2.507121948749e-01	2.802610699942e-01	4.468556660193e-01
2.154434690032e+07	5.017288110519e-01	2.560441119995e-01	1.967608722066e-01	1.783348189296e-01	1.827958055878e-01	2.205496158768e-01	3.995448401403e-01
4.641588833613e+07	4.861844819820e-01	2.389550813814e-01	1.789454871790e-01	1.606191598117e-01	1.659165952068e-01	2.052319234432e-01	3.863713016586e-01
1.000000000000e+08	4.824479601145e-01	2.350317851713e-01	1.749484960277e-01	1.566479607523e-01	1.621519447531e-01	2.017173765395e-01	3.835245921335e-01
