x	y1	y2	y3
1.000000000000e+05	-7.777860273294e+00	-7.613726743443e+01	-8.953818681162e+01
2.154434690032e+05	-7.082081398339e+00	-7.429132394899e+01	-8.746639082100e+01
4.641588833613e+05	-5.666936890370e+00	-7.048195547945e+01	-8.322276270621e+01
1.000000000000e+06	-2.987554970498e+00	-6.299172054098e+01	-7.501841661056e+01
2.154434690032e+06	1.264630935518e+00	-4.967443488817e+01	-6.099239462537e+01
4.641588833613e+06	5.144009681934e+00	-3.040209028405e+01	-4.159006195741e+01
1.000000000000e+07	4.204936230023e+00	-1.192040138161e+01	-1.939179294110e+01
2.154434690032e+07	1.512267718631e+00	-2.906206406187e+00	-5.392310367488e+00
4.641588833613e+07	3.657022906691e-01	-5.938567754705e-01	-1.182152856719e+00
1.000000000000e+08	7.069820362188e-02	-1.194351967282e-01	-2.552774977168e-01
