x	y1	y2	y3	y4
1.000000000000e+03	NaN	NaN	-5.899271593535e-05	-3.098811974951e-05
1.467799267622e+03	-4.539345834153e-02	-1.740956768873e-03	-1.706100745846e-04	-8.229717981740e-05
2.154434690032e+03	-8.839448639589e-02	-3.963747064688e-03	-4.544806753032e-04	-2.185619030054e-04
3.162277660168e+03	-1.720686093668e-01	-8.981559795141e-03	-1.176430797408e-03	-5.804478975849e-04
4.641588833613e+03	-3.348154596354e-01	-2.030838587747e-02	-3.012500413883e-03	-1.541523042329e-03
6.812920690580e+03	-6.510478797197e-01	-4.587374981184e-02	-7.681876089762e-03	-4.093845644911e-03
1.000000000000e+04	-1.260119411504e+00	-1.035613968689e-01	-1.955588232080e-02	-1.087173182974e-02
1.467799267622e+04	-2.338885580788e+00	-2.336435961838e-01	-4.974541281665e-02	-2.886877531422e-02
2.154434690032e+04	-3.723577082461e+00	-5.246652311325e-01	-1.264622958571e-01	-7.664044614006e-02
3.162277660168e+04	-4.457176114661e+00	-1.121425999876e+00	-3.202845499190e-01	-2.033129742216e-01
4.641588833613e+04	-3.590980286518e+00	-1.979356308252e+00	-7.765543337710e-01	-5.344118087720e-01
6.812920690580e+04	-1.494238800407e+00	-2.434795868003e+00	-1.573616633855e+00	-1.289095726241e+00
1.000000000000e+05	4.353952789920e-01	-1.815846565587e+00	-2.244075777232e+00	-2.319697884084e+00
1.467799267622e+05	1.185841333030e+00	-5.635193027844e-01	-1.849952014277e+00	-2.408023561498e+00
2.154434690032e+05	9.046931190525e-01	3.785942926155e-01	-3.241487835111e-01	-7.964755774617e-01
3.162277660168e+05	3.547329989170e-01	6.938287656197e-01	1.034571819024e+00	1.023033413953e+00
4.641588833613e+05	2.830189909238e-04	6.163067677665e-01	1.407914075337e+00	1.657244170049e+00
6.812920690580e+05	-1.279815927558e-01	4.268788219274e-01	1.140294706865e+00	1.393216667067e+00
1.000000000000e+06	-1.364792535867e-01	2.608092448855e-01	7.416772363795e-01	9.125393970094e-01
1.467799267622e+06	-1.054504306030e-01	1.483488730964e-01	4.300982962985e-01	5.272113933481e-01
2.154434690032e+06	-7.108435629585e-02	8.073031293048e-02	2.334049973220e-01	2.838474832385e-01
3.162277660168e+06	-4.446389688721e-02	4.266103319413e-02	1.215308041968e-01	1.463978380675e-01
4.641588833613e+06	-2.654710918551e-02	2.208053108077e-02	6.156372920269e-02	7.342954050652e-02
6.812920690580e+06	-1.535998678869e-02	1.125326061076e-02	3.059208165197e-02	3.613445869409e-02
1.000000000000e+07	-8.690297707902e-03	5.666918526785e-03	1.498999082051e-02	1.754173125047e-02
