x	y1	y2	y3	y4
1.000000000000e-01	2.718092600581e+01	2.793506287465e+00	5.772927084977e-01	4.833655776831e-01
1.133333333333e-01	2.643011107453e+01	2.701242986515e+00	5.243163984614e-01	4.314822490883e-01
1.266666666667e-01	2.569838081845e+01	2.615543590655e+00	4.818090389819e-01	3.906215526658e-01
1.400000000000e-01	2.498528404535e+01	2.534874116194e+00	4.467808771011e-01	3.576444799654e-01
1.533333333333e-01	2.429054334516e+01	2.458277485183e+00	4.173002492868e-01	3.305044611276e-01
1.666666666667e-01	2.361397995801e+01	2.385125738664e+00	3.920643845521e-01	3.078100628942e-01
1.800000000000e-01	2.295547461534e+01	2.314989510433e+00	3.701623265542e-01	2.885821400017e-01
1.933333333333e-01	2.231494575595e+01	2.247565365063e+00	3.509371534399e-01	2.721115680004e-01
2.066666666667e-01	2.169233665725e+01	2.182633269162e+00	3.339024654297e-01	2.578721198058e-01
2.200000000000e-01	2.108760742056e+01	2.120030498117e+00	3.186898999763e-01	2.454650730170e-01
2.333333333333e-01	2.050072976136e+01	2.059634906340e+00	3.050150691585e-01	2.345828388700e-01
2.466666666667e-01	1.993168351366e+01	2.001353767447e+00	2.926547988579e-01	2.249844029528e-01
2.600000000000e-01	1.938045423295e+01	1.945116073014e+00	2.814315077880e-01	2.164783294602e-01
2.733333333333e-01	1.884703152929e+01	1.890867068999e+00	2.712022203379e-01	2.089107417240e-01
2.866666666667e-01	1.833140789793e+01	1.838564294925e+00	2.618506634364e-01	2.021566566869e-01
3.000000000000e-01	1.783357789455e+01	1.788174664966e+00	2.532814651269e-01	1.961136292795e-01
3.133333333333e-01	1.735353755140e+01	1.739672290317e+00	2.454158177088e-01	1.906970189626e-01
3.266666666667e-01	1.689128396284e+01	1.693036839697e+00	2.381881830733e-01	1.858364157797e-01
3.400000000000e-01	1.644681499043e+01	1.648252296487e+00	2.315437544152e-01	1.814729086898e-01
3.533333333333e-01	1.602012905245e+01	1.605306011622e+00	2.254364771249e-01	1.775569748772e-01
3.666666666667e-01	1.561122497340e+01	1.564187978954e+00	2.198274903357e-01	1.740468332122e-01
3.800000000000e-01	1.522010187594e+01	1.524890279147e+00	2.146838901854e-01	1.709071491416e-01
3.933333333333e-01	1.484675910316e+01	1.487406652037e+00	2.099777430445e-01	1.681080089451e-01
4.066666666667e-01	1.449119616251e+01	1.451732167483e+00	2.056852959644e-01	1.656241029371e-01
4.200000000000e-01	1.415341268525e+01	1.417862972196e+00	2.017863450795e-01	1.634340726837e-01
