x	y1	y2	y3	y4	y5	y6	y7
1.000000000000e+05	2.717093303872e+01	2.050133494886e+01	1.561207903373e+01	1.250096786376e+01	1.116782846708e+01	1.161284776372e+01	1.383862647395e+01
2.154434690032e+05	1.261883865822e+01	9.518132828128e+00	7.248120992086e+00	5.804070947414e+00	5.185610080037e+00	5.393140854316e+00	6.432260348007e+00
4.641588833613e+05	5.872651814922e+00	4.422783259279e+00	3.367801774038e+00	2.697532221009e+00	2.411172253306e+00	2.509586539293e+00	3.004774124567e+00
1.000000000000e+06	2.759003841024e+00	2.063306735632e+00	1.570760813529e+00	1.259641826419e+00	1.128225451801e+00	1.178350949900e+00	1.435298814034e+00
2.154434690032e+06	1.349761854425e+00	9.798652273606e-01	7.451657499667e-01	6.006895630704e-01	5.427653843157e-01	5.751419929388e-01	7.474935388055e-01
4.641588833613e+06	7.578829502189e-01	4.997974149964e-01	3.786030951490e-01	3.110021806827e-01	2.895276493545e-01	3.207941322386e-01	4.850706485732e-01
1.000000000000e+07	5.528355947182e-01	3.110621888055e-01	2.336499755992e-01	1.995558339518e-01	1.960042603886e-01	2.319778845235e-01	4.069492420023e-01
2.154434690032e+07	4.977195429920e-01	2.525642434894e-01	1.883404781600e-01	1.660235979232e-01	1.692178655275e-01	2.079339135810e-01	3.880648458906e-01
4.641588833613e+07	4.850258122016e-01	2.380867762221e-01	1.770672719642e-01	1.578695002825e-01	1.628711330684e-01	2.023801325464e-01	3.838747113990e-01
1.000000000000e+08	4.822472859305e-01	2.348508788668e-01	1.745432292450e-01	1.560569795434e-01	1.614711122476e-01	2.011635321965e-01	3.829659718124e-01
