x	y1	y2	y3	y4	y5	y6	y7
1.000000000000e+05	2.716980476807e+01	2.050057594384e+01	1.561141590122e+01	1.250023805983e+01	1.116689315803e+01	1.161138287499e+01	1.383410479999e+01
2.154434690032e+05	1.261987712367e+01	9.517134941489e+00	7.247029691923e+00	5.802762255319e+00	5.183846020009e+00	5.390286458089e+00	6.423379554191e+00
4.641588833613e+05	5.886106758047e+00	4.422708884125e+00	3.366550494085e+00	2.695572923244e+00	2.408191930382e+00	2.504425279953e+00	2.988487560745e+00
1.000000000000e+06	2.822301092818e+00	2.069822678996e+00	1.571624877918e+00	1.258212932869e+00	1.124477952671e+00	1.170476091007e+00	1.409695902540e+00
2.154434690032e+06	1.559231509802e+00	1.013502470603e+00	7.578792916628e-01	6.062103884145e-01	5.430059778618e-01	5.684145867997e-01	7.215736880820e-01
4.641588833613e+06	1.186700067454e+00	6.047034932623e-01	4.283810228230e-01	3.414830631099e-01	3.085631777912e-01	3.297647193602e-01	4.838587870513e-01
1.000000000000e+07	1.117040150859e+00	4.990130715628e-01	3.351382742575e-01	2.661144810252e-01	2.428357377523e-01	2.651835838849e-01	4.319403475597e-01
2.154434690032e+07	1.106567709187e+00	4.809223116123e-01	3.182338312604e-01	2.523912834162e-01	2.309973734483e-01	2.538216392233e-01	4.237318862144e-01
4.641588833613e+07	1.105064586888e+00	4.782608151386e-01	3.157129082858e-01	2.503425300839e-01	2.292348282417e-01	2.521395923441e-01	4.225434223082e-01
1.000000000000e+08	1.104850373201e+00	4.778801138920e-01	3.153515470325e-01	2.500488005626e-01	2.289822422280e-01	2.518987578354e-01	4.223738349091e-01
