x	y1	y2	y3
1.000000000000e+05	4.124770349116e-01	1.821006422248e-02	-3.760464625065e-01
2.154434690032e+05	4.111761794437e-01	2.843253445689e-02	-3.716460649876e-01
4.641588833613e+05	3.575754661758e-01	2.780988881238e-02	-4.005928123290e-01
1.000000000000e+06	6.891708068448e-03	-7.792818086260e-02	-6.366974889222e-01
2.154434690032e+06	-1.409524315976e+00	-7.860093264365e-01	-1.873815216393e+00
4.641588833613e+06	-1.705792650289e+00	-3.941779627106e+00	-4.448089024650e+00
1.000000000000e+07	7.314369979639e-01	-7.672149896635e+00	-4.191334465681e+00
2.154434690032e+07	7.229396413852e-01	-4.456476289219e+00	-1.759579656396e+00
4.641588833613e+07	2.129790768973e-01	-1.284805497113e+00	-4.673932188212e-01
1.000000000000e+08	5.858909170653e-02	-2.882527470896e-01	-1.430199978642e-01
