x	y1
1.440000000000e-01	1.627292741761e+01
3.709000000000e-01	1.008748431885e+01
1.000000000000e+00	1.250096786376e+01
5.000000000000e+00	1.871998253267e+01
1.000000000000e+01	2.026845407756e+01
2.000000000000e+01	2.118374433748e+01
3.000000000000e+01	2.151491609973e+01
4.000000000000e+01	2.168596355859e+01
5.000000000000e+01	2.179042365014e+01
